הגרלה,תאריך,1,2,3,4,5,6,המספר החזק/נוסף,מספר_זוכים_לוטו,מספר_זוכים_דאבל_לוטו,
3523,05/11/2022,06,09,22,25,31,34,4,0,0,
3522,01/11/2022,02,03,04,05,11,15,3,0,0,
3521,29/10/2022,02,05,15,24,32,33,3,0,0,
3520,27/10/2022,12,13,22,25,28,36,2,0,0,
3519,25/10/2022,05,07,10,16,31,32,4,0,0,
3518,22/10/2022,05,11,13,19,32,37,5,0,0,
3517,18/10/2022,05,07,13,17,25,32,4,1,1,
3516,15/10/2022,03,15,17,21,26,29,6,0,0,
3515,11/10/2022,05,16,18,26,29,35,4,0,0,
3514,08/10/2022,02,12,14,15,33,37,3,0,0,
3513,06/10/2022,05,06,11,18,19,35,2,0,0,
3512,01/10/2022,09,17,20,21,30,33,7,0,0,
3511,29/09/2022,06,21,24,27,28,37,6,0,0,
3510,24/09/2022,04,10,11,13,20,32,1,0,0,
3509,20/09/2022,01,15,17,29,33,34,2,0,0,
3508,17/09/2022,09,11,14,20,31,33,1,0,0,
3507,15/09/2022,06,07,15,19,27,33,7,0,0,
3506,13/09/2022,02,07,10,13,25,34,6,0,0,
3505,10/09/2022,02,07,14,17,19,28,4,0,0,
3504,06/09/2022,03,20,23,25,32,35,5,0,0,
3503,03/09/2022,01,09,13,20,22,36,5,0,0,
3502,30/08/2022,09,12,17,18,20,36,7,0,0,
3501,27/08/2022,09,16,22,27,30,34,6,1,0,
3500,23/08/2022,02,06,14,17,25,33,3,0,0,
3499,20/08/2022,08,13,16,19,23,36,1,1,0,
3498,16/08/2022,01,11,15,19,21,32,2,0,0,
3497,13/08/2022,14,18,21,27,28,34,3,0,0,
3496,09/08/2022,06,09,12,14,25,29,7,1,0,
3495,07/08/2022,08,19,25,30,31,36,2,0,0,
3494,02/08/2022,06,08,09,20,23,28,7,0,0,
3493,30/07/2022,07,13,24,26,35,37,7,0,0,
3492,28/07/2022,02,15,17,27,34,37,1,0,0,
3491,26/07/2022,11,12,13,16,34,36,6,0,0,
3490,23/07/2022,07,13,19,21,25,37,6,0,0,
3489,19/07/2022,04,08,09,10,15,24,7,0,0,
3488,16/07/2022,01,07,08,11,12,25,2,0,0,
3487,14/07/2022,06,12,15,19,26,27,4,0,0,
3486,12/07/2022,09,14,15,23,27,33,2,0,0,
3485,09/07/2022,01,12,15,19,27,31,4,0,0,
3484,05/07/2022,01,15,16,31,32,33,2,0,0,
3483,02/07/2022,02,04,12,14,26,37,4,0,0,
3482,28/06/2022,01,04,07,21,22,36,6,0,0,
3481,25/06/2022,12,17,26,28,32,35,1,0,0,
3480,21/06/2022,04,06,07,12,17,27,7,0,0,
3479,18/06/2022,01,04,09,12,30,31,3,0,0,
3478,16/06/2022,01,07,10,13,29,36,2,0,0,
3477,14/06/2022,03,05,06,10,15,36,3,0,0,
3476,11/06/2022,07,08,20,31,36,37,4,0,0,
3475,07/06/2022,03,06,13,23,25,29,5,1,0,
3474,02/06/2022,11,24,25,27,29,32,3,0,0,
3473,31/05/2022,02,05,10,19,27,36,1,0,0,
3472,28/05/2022,01,02,08,19,31,33,7,0,0,
3471,24/05/2022,06,10,13,20,23,35,7,0,0,
3470,21/05/2022,03,04,05,15,24,33,6,0,0,
3469,19/05/2022,01,08,18,25,29,30,1,0,0,
3468,17/05/2022,01,04,05,24,31,32,6,0,0,
3467,14/05/2022,09,16,17,21,26,29,6,0,0,
3466,10/05/2022,17,19,21,23,25,34,7,1,0,
3465,07/05/2022,03,13,21,24,27,35,2,0,0,
3464,02/05/2022,01,14,15,17,28,37,1,0,0,
3463,30/04/2022,08,09,10,18,29,32,2,0,0,
3462,26/04/2022,07,10,11,19,22,29,6,0,0,
3461,24/04/2022,10,13,17,22,29,35,3,0,0,
3460,19/04/2022,02,03,05,08,14,19,7,0,1,
3459,16/04/2022,06,07,14,19,20,23,6,0,0,
3458,12/04/2022,09,15,17,23,26,29,3,0,0,
3457,09/04/2022,02,12,19,29,30,33,1,0,0,
3456,07/04/2022,15,20,27,29,36,37,7,0,0,
3455,05/04/2022,07,14,15,20,27,36,5,0,0,
3454,02/04/2022,01,03,09,26,29,34,1,0,0,
3453,29/03/2022,01,03,05,11,25,31,1,0,0,
3452,26/03/2022,01,11,12,13,18,36,2,0,1,
3451,22/03/2022,02,16,26,27,33,35,7,0,0,
3450,19/03/2022,09,10,18,19,29,35,7,0,0,
3449,17/03/2022,08,18,21,23,33,36,1,0,0,
3448,15/03/2022,03,09,16,27,34,37,7,0,0,
3447,12/03/2022,01,04,16,21,22,35,7,0,0,
3446,08/03/2022,01,02,04,08,18,21,5,1,0,
3445,05/03/2022,10,12,19,23,27,30,3,0,0,
3444,01/03/2022,07,16,20,30,32,33,5,0,0,
3443,26/02/2022,01,22,27,30,31,37,3,0,0,
3442,22/02/2022,14,22,25,28,33,34,6,0,0,
3441,19/02/2022,09,12,15,25,29,30,5,0,0,
3440,15/02/2022,04,08,11,12,15,25,2,0,0,
3439,12/02/2022,02,05,12,15,16,34,4,0,0,
3438,10/02/2022,03,09,10,16,27,31,5,0,0,
3437,08/02/2022,02,15,17,18,31,33,1,0,0,
3436,05/02/2022,06,07,16,30,32,36,3,0,1,
3435,01/02/2022,02,06,09,11,33,37,1,0,0,
3434,29/01/2022,03,05,07,23,26,36,1,0,0,
3433,25/01/2022,03,24,26,27,32,37,5,0,0,
3432,22/01/2022,08,16,18,19,35,36,6,0,0,
3431,18/01/2022,08,17,21,27,33,34,3,0,0,
3430,15/01/2022,07,12,17,19,36,37,3,0,0,
3429,13/01/2022,01,05,10,11,23,34,5,0,0,
3428,11/01/2022,08,09,30,31,33,36,4,0,0,
3427,08/01/2022,07,10,12,15,18,34,3,0,0,
3426,04/01/2022,01,06,09,12,28,29,7,0,0,
3425,01/01/2022,04,08,09,28,33,37,2,0,0,
3424,28/12/2021,06,08,14,15,23,36,1,0,0,
3423,25/12/2021,16,20,21,23,34,36,7,0,0,
3422,21/12/2021,04,24,28,30,32,34,1,0,0,
3421,18/12/2021,01,05,10,13,30,33,1,0,0,
3420,16/12/2021,06,13,15,20,29,31,5,0,0,
3419,14/12/2021,06,08,10,12,25,34,4,0,0,
3418,11/12/2021,12,15,17,20,21,23,1,0,0,
3417,07/12/2021,05,11,13,18,32,37,1,0,0,
3416,04/12/2021,15,20,23,26,28,37,3,0,0,
3415,02/12/2021,03,15,19,26,27,31,6,0,1,
3414,30/11/2021,03,04,19,27,32,33,5,1,0,
3413,27/11/2021,08,17,22,24,28,33,1,0,0,
3412,23/11/2021,08,15,16,23,27,33,2,0,0,
3411,20/11/2021,13,18,20,23,26,36,1,0,0,
3410,18/11/2021,04,09,20,23,32,37,2,1,0,
3409,16/11/2021,07,09,17,20,22,26,4,0,0,
3408,13/11/2021,02,09,13,31,34,37,2,0,0,
3407,09/11/2021,06,09,19,21,28,36,7,0,0,
3406,06/11/2021,07,08,21,24,26,30,5,0,0,
3405,04/11/2021,01,04,15,26,33,37,5,0,0,
3404,02/11/2021,02,06,10,12,24,31,1,0,1,
3403,30/10/2021,01,02,17,19,36,37,4,0,0,
3402,26/10/2021,14,17,27,29,33,35,3,0,0,
3401,23/10/2021,07,16,17,22,26,29,5,0,0,
3400,19/10/2021,07,12,24,28,32,34,5,0,0,
3399,16/10/2021,05,10,14,20,23,28,4,0,0,
3398,14/10/2021,08,16,17,20,29,30,5,0,0,
3397,12/10/2021,07,11,22,28,31,32,3,0,0,
3396,09/10/2021,07,20,24,26,33,36,4,0,0,
3395,05/10/2021,04,10,11,14,15,33,3,0,0,
3394,02/10/2021,10,12,13,17,30,31,7,0,0,
3393,29/09/2021,03,05,08,09,19,36,2,0,0,
3392,25/09/2021,11,14,16,30,32,35,2,1,0,
3391,22/09/2021,04,06,12,20,31,36,6,0,0,
3390,18/09/2021,08,26,28,29,33,35,6,0,0,
3389,14/09/2021,04,08,24,25,30,31,7,1,0,
3388,11/09/2021,15,19,21,30,32,35,5,0,0,
3387,09/09/2021,01,03,09,23,25,27,1,1,0,
3386,04/09/2021,02,06,12,13,26,37,3,0,0,
3385,02/09/2021,01,02,11,16,28,37,4,0,0,
3384,31/08/2021,06,11,15,20,36,37,4,0,0,
3383,28/08/2021,04,05,08,17,26,36,7,0,0,
3382,24/08/2021,15,18,21,28,31,33,2,0,0,
3381,21/08/2021,06,21,25,26,30,35,5,0,0,
3380,17/08/2021,04,11,25,26,28,37,7,0,0,
3379,14/08/2021,02,12,13,23,25,30,7,0,0,
3378,10/08/2021,03,09,10,17,24,32,3,0,0,
3377,07/08/2021,13,17,18,23,25,27,3,1,0,
3376,05/08/2021,02,04,10,11,18,35,6,0,0,
3375,03/08/2021,01,11,21,23,27,36,1,0,1,
3374,31/07/2021,16,24,28,34,35,36,1,0,0,
3373,27/07/2021,15,18,23,25,29,37,3,0,0,
3372,24/07/2021,10,16,19,23,24,28,6,0,0,
3371,22/07/2021,04,12,20,30,35,37,7,0,0,
3370,20/07/2021,02,11,13,27,28,31,1,0,0,
3369,18/07/2021,11,13,14,17,21,23,1,0,1,
3368,13/07/2021,08,09,23,24,28,33,3,0,0,
3367,10/07/2021,02,08,15,16,23,33,4,0,0,
3366,06/07/2021,08,11,14,16,18,29,5,0,0,
3365,03/07/2021,02,10,13,16,32,37,6,0,0,
3364,01/07/2021,02,13,19,20,22,25,6,0,1,
3363,29/06/2021,07,12,13,21,28,35,6,0,0,
3362,26/06/2021,03,04,09,19,22,26,1,0,0,
3361,22/06/2021,03,06,08,13,18,27,5,0,0,
3360,19/06/2021,12,18,20,26,29,37,6,0,0,
3359,17/06/2021,01,02,08,19,28,30,4,0,0,
3358,15/06/2021,03,16,22,25,26,37,5,0,0,
3357,12/06/2021,02,10,19,32,33,37,6,0,0,
3356,08/06/2021,02,05,22,26,30,33,4,0,0,
3355,05/06/2021,07,09,10,21,24,33,2,0,0,
3354,03/06/2021,08,14,15,20,32,33,6,0,0,
3353,01/06/2021,04,06,13,14,16,31,5,0,0,
3352,29/05/2021,09,11,15,21,23,24,2,0,0,
3351,25/05/2021,04,09,13,14,25,34,4,0,1,
3350,22/05/2021,01,05,10,21,22,33,7,0,0,
3349,18/05/2021,01,13,14,17,19,20,4,0,0,
3348,15/05/2021,01,05,09,24,36,37,1,0,0,
3347,11/05/2021,04,06,14,20,28,31,6,0,0,
3346,08/05/2021,10,11,12,20,26,35,3,0,0,
3345,06/05/2021,04,08,13,17,28,29,4,0,0,
3344,04/05/2021,11,22,23,25,32,34,6,0,0,
3343,01/05/2021,02,05,11,18,24,25,5,0,0,
3342,27/04/2021,02,15,19,33,34,36,7,0,0,
3341,24/04/2021,01,02,13,14,22,36,7,0,0,
3340,22/04/2021,03,05,13,23,24,35,1,0,0,
3339,20/04/2021,01,03,04,13,20,37,5,0,0,
3338,17/04/2021,02,06,10,11,16,35,6,0,0,
3337,12/04/2021,02,05,06,07,15,30,7,0,0,
3336,10/04/2021,02,07,08,10,30,31,1,0,0,
3335,06/04/2021,05,13,15,21,22,33,7,0,0,
3334,03/04/2021,03,05,07,09,19,27,5,0,1,
3333,30/03/2021,01,07,16,23,28,34,5,0,0,
3332,25/03/2021,01,05,25,27,28,31,4,0,0,
3331,23/03/2021,08,16,22,26,28,34,7,0,0,
3330,20/03/2021,11,12,18,33,35,36,5,0,0,
3329,16/03/2021,04,05,14,17,24,32,5,0,1,
3328,13/03/2021,01,06,12,14,18,34,3,0,0,
3327,09/03/2021,01,05,24,25,29,35,3,0,0,
3326,06/03/2021,07,13,15,22,29,34,1,0,0,
3325,04/03/2021,07,20,24,26,27,37,4,0,0,
3324,02/03/2021,08,15,19,23,27,37,7,1,0,
3323,28/02/2021,14,16,22,23,29,30,6,0,0,
3322,23/02/2021,04,12,13,15,16,24,2,0,0,
3321,20/02/2021,08,10,15,20,23,32,7,0,0,
3320,16/02/2021,05,09,18,21,30,33,7,0,0,
3319,13/02/2021,05,22,26,31,33,36,5,0,0,
3318,09/02/2021,03,07,12,13,20,31,7,0,0,
3317,06/02/2021,03,16,18,20,30,36,3,0,0,
3316,02/02/2021,06,21,28,30,32,35,1,0,0,
3315,30/01/2021,14,17,19,20,28,29,3,0,0,
3314,26/01/2021,02,04,17,31,33,35,3,1,0,
3313,23/01/2021,03,07,12,16,23,37,6,0,0,
3312,19/01/2021,06,14,17,22,24,33,1,0,0,
3311,16/01/2021,01,09,17,22,33,36,1,0,0,
3310,12/01/2021,02,09,11,13,35,37,2,0,0,
3309,09/01/2021,12,24,25,28,34,37,3,0,0,
3308,05/01/2021,05,12,14,16,17,24,2,0,0,
3307,02/01/2021,06,19,20,25,27,32,3,1,0,
3306,29/12/2020,12,13,16,21,25,33,3,0,0,
3305,26/12/2020,01,10,17,20,35,36,7,0,0,
3304,22/12/2020,01,05,12,27,32,36,1,0,0,
3303,19/12/2020,03,09,11,22,26,34,5,0,0,
3302,15/12/2020,03,08,09,16,20,21,5,0,0,
3301,12/12/2020,03,05,19,20,31,37,7,0,0,
3300,08/12/2020,08,10,16,18,23,30,7,1,2,
3299,05/12/2020,01,15,21,25,33,37,3,0,0,
3298,03/12/2020,09,16,19,23,26,33,7,0,0,
3297,01/12/2020,03,04,12,16,22,31,3,0,0,
3296,28/11/2020,05,08,09,11,18,22,1,0,0,
3295,24/11/2020,01,05,22,27,28,29,5,0,0,
3294,21/11/2020,02,13,21,22,23,25,1,0,0,
3293,19/11/2020,04,17,25,27,34,37,3,0,0,
3292,17/11/2020,02,20,24,25,32,34,3,0,0,
3291,14/11/2020,09,19,22,24,29,34,7,0,0,
3290,10/11/2020,05,06,12,18,23,31,2,0,0,
3289,07/11/2020,05,10,14,23,26,35,2,0,0,
3288,03/11/2020,01,17,23,24,32,37,1,0,1,
3287,31/10/2020,05,11,14,24,30,36,7,0,0,
3286,27/10/2020,03,17,19,22,23,28,3,0,0,
3285,24/10/2020,20,22,31,32,36,37,3,0,0,
3284,20/10/2020,02,08,15,22,24,35,3,1,0,
3283,17/09/2020,05,10,12,14,24,29,5,0,0,
3282,15/09/2020,01,08,14,19,29,37,6,0,0,
